bridge_id,peer_id,peer_class,bridge_cpp,peer_cpp
A5071913882,A5100407936,A-only,126.0,43.21951219512195
A5071913882,A5100321756,A-only,126.0,50.05882352941177
A5071913882,A5021478947,C-only,126.0,49.411764705882355
A5071913882,A5055999451,C-only,126.0,49.10526315789474
A5071913882,A5025942801,C-only,126.0,29.36
A5080955773,A5100667027,A-only,29.31081081081081,43.43283582089552
A5080955773,A5109421324,A-only,29.31081081081081,42.81666666666667
A5080955773,A5039077906,A-only,29.31081081081081,47.94871794871795
A5080955773,A5011433303,C-only,29.31081081081081,16.153846153846153
A5080955773,A5044597461,C-only,29.31081081081081,10.74468085106383
A5080955773,A5100358950,C-only,29.31081081081081,27.8
A5061127602,A5063681115,A-only,126.0,23.552380952380954
A5061127602,A5063788508,A-only,126.0,61.14018691588785
A5061127602,A5002888704,A-only,126.0,20.024844720496894
A5061127602,A5056140836,C-only,126.0,23.72
A5061127602,A5063238019,C-only,126.0,12.41409691629956
A5061127602,A5038430409,C-only,126.0,19.23
A5034083726,A5101576679,A-only,15.564102564102564,41.4
A5034083726,A5040738260,A-only,15.564102564102564,11.818181818181818
A5034083726,A5069851808,A-only,15.564102564102564,58.16129032258065
A5034083726,A5035054168,C-only,15.564102564102564,36.523809523809526
A5034083726,A5067751497,C-only,15.564102564102564,41.65217391304348
A5034083726,A5026493342,C-only,15.564102564102564,26.36
A5026083551,A5102144471,A-only,34.72727272727273,126.0
A5026083551,A5103933638,A-only,34.72727272727273,11.277777777777779
A5026083551,A5089008822,A-only,34.72727272727273,54.31578947368421
A5026083551,A5102937664,C-only,34.72727272727273,16.615384615384617
A5026083551,A5102336274,C-only,34.72727272727273,8.5
A5026083551,A5103501807,C-only,34.72727272727273,9.333333333333334
A5085683971,A5088320224,A-only,126.0,53.609756097560975
A5085683971,A5089335497,A-only,126.0,90.13131313131314
A5085683971,A5005360269,A-only,126.0,93.91228070175438
A5085683971,A5020572521,C-only,126.0,31.75925925925926
A5085683971,A5061482931,C-only,126.0,22.75728155339806
A5085683971,A5072964389,C-only,126.0,26.58974358974359
A5081189657,A5101715179,A-only,34.6,41.9375
A5081189657,A5100421122,A-only,34.6,40.625
A5081189657,A5028927361,A-only,34.6,21.5
A5081189657,A5100836612,C-only,34.6,7.615384615384615
A5081189657,A5102982544,C-only,34.6,49.43333333333333
A5081189657,A5041529308,C-only,34.6,28.333333333333332
A5100340335,A5100368556,A-only,30.428571428571427,52.888888888888886
A5100340335,A5101999393,A-only,30.428571428571427,126.0
A5100340335,A5103094031,A-only,30.428571428571427,74.95833333333333
A5100340335,A5100936954,C-only,30.428571428571427,6.869565217391305
A5100340335,A5100506999,C-only,30.428571428571427,2.2142857142857144
A5100340335,A5114889897,C-only,30.428571428571427,44.76190476190476
A5054301400,A5044907777,A-only,126.0,42.382716049382715
A5054301400,A5050873674,A-only,126.0,23.57391304347826
A5054301400,A5008158523,A-only,126.0,68.84210526315789
A5054301400,A5085795821,C-only,126.0,8.934426229508198
A5054301400,A5045411428,C-only,126.0,65.5657894736842
A5054301400,A5037985275,C-only,126.0,18.93103448275862
A5024083634,A5100434113,A-only,56.30769230769231,31.444444444444443
A5024083634,A5100614122,A-only,56.30769230769231,52.18181818181818
A5024083634,A5059258285,A-only,56.30769230769231,16.09090909090909
A5024083634,A5055534103,C-only,56.30769230769231,38.5
A5024083634,A5102937423,C-only,56.30769230769231,33.5
A5024083634,A5101434452,C-only,56.30769230769231,34.0
A5058495152,A5064454527,A-only,43.58064516129032,14.647058823529411
A5058495152,A5041314744,A-only,43.58064516129032,89.63636363636364
A5058495152,A5069504217,A-only,43.58064516129032,57.11764705882353
A5058495152,A5015026810,C-only,43.58064516129032,54.47727272727273
A5058495152,A5027824083,C-only,43.58064516129032,31.3125
A5058495152,A5054726252,C-only,43.58064516129032,6.75
A5002997200,A5077046811,A-only,49.89078498293515,120.69277108433735
A5002997200,A5086300034,A-only,49.89078498293515,85.97972972972973
A5002997200,A5024742387,A-only,49.89078498293515,64.96987951807229
A5002997200,A5032602331,C-only,49.89078498293515,7.380952380952381
A5002997200,A5072198225,C-only,49.89078498293515,11.959375
A5002997200,A5091314637,C-only,49.89078498293515,48.535483870967745
A5076095733,A5040262742,A-only,105.08695652173913,77.56923076923077
A5076095733,A5020127800,A-only,105.08695652173913,52.61666666666667
A5076095733,A5074801557,A-only,105.08695652173913,37.73809523809524
A5076095733,A5016998149,C-only,105.08695652173913,39.51428571428571
A5076095733,A5040687050,C-only,105.08695652173913,9.041666666666666
A5076095733,A5102919898,C-only,105.08695652173913,4.078947368421052
A5088053750,A5049094755,A-only,39.9375,23.5
A5088053750,A5049221000,A-only,39.9375,45.714285714285715
A5088053750,A5084114994,A-only,39.9375,126.0
A5088053750,A5069601719,C-only,39.9375,8.736842105263158
A5088053750,A5038692764,C-only,39.9375,4.888888888888889
A5088053750,A5017549146,C-only,39.9375,7.071428571428571
A5100459916,A5101518011,A-only,32.56818181818182,53.22
A5100459916,A5103229986,A-only,32.56818181818182,11.0
A5100459916,A5041281706,A-only,32.56818181818182,126.0
A5100459916,A5113464549,C-only,32.56818181818182,6.129032258064516
A5100459916,A5060845692,C-only,32.56818181818182,43.44444444444444
A5100459916,A5102017735,C-only,32.56818181818182,18.92
A5048841778,A5062841802,A-only,42.55172413793103,33.44444444444444
A5048841778,A5103829377,A-only,42.55172413793103,37.925925925925924
